,countryName,numCases,numDeaths,numRecovered,numDoctors,numHospitalBeds,travelAdv
33,Dominican Republic,8807,362,1960,1.56,1.6,"The President of the Dominican Republic ordered to close all borders, effective 19 March. Flights to Dominican Rep. are suspended until 12 April 2020."
34,Ecuador,31881,1618,3433,2.05,1.5,"Effective 25 March 2020, Ecuador's borders are closed, flights to Ecuador are suspended until 5 April 2020."
35,Egypt,7588,469,1815,0.79,1.6,Egypt's Prime Minister Moustafa Madbouly announced that Egypt will be shutting down its airports and air travel starting from Thursday 19 March at noon until 15 April to prevent the spread of the coronavirus.
36,El Salvador,633,15,219,1.57,1.3,"On 11 March, the President of El Salvador announced an Executive Order barring the entry of foreigners. The General Directorate of Migration will deny entry to all foreigners, excluding accredited diplomats and legal residents of El Salvador."
37,Estonia,1713,55,264,3.47,5.0,"Effective 17 March 2020, foreign travellers are not allowed to enter. Right of entry will remain for citizens and those with a right of residence, and foreign citizens whose next of kin live in Estonia. Transit is allowed for foreigners not showing signs of the coronavirus. A mandatory two-week quarantine will be set for anyone entering the country."
38,Ethiopia,162,4,93,0.1,0.3,Mandatory 14-day quarantine at the traveller's expense.
39,Fiji,18,0,14,0.84,2.3,Borders closed to all non-citizens.
40,Fiji,18,0,14,0.84,2.3,"After the lockdown of Lautoka on 20 March 2020, no person regardless of citizenship is allowed to leave the confines of the city."
41,Finland,5573,252,3500,3.81,4.4,"Closed its borders on 19 March 2020, except for Finnish citizens returning to Finland, foreigners returning to their countries of origin, essential work-related travel, and goods. Finnish citizens returning home are recommended to quarantine themselves for 14 days after arrival."
42,France,174224,25812,54079,3.23,6.5,Banned all non-essential travel into the country on 6 April.
43,Gabon,397,6,93,0.36,6.3,"Visitors who have travelled through Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the past 14 days are not allowed to enter or transit Gabon."
44,Gambia,17,1,9,0.11,1.1,"Closed its sole land border with Senegal, and closed its airspace to most flights."
45,Georgia,610,9,269,5.1,2.6,"The Georgian government imposed a ban on all foreign citizens entering the country and closed its borders. Georgia also halted all air travel with other countries on 20 March. These restrictions were set to end on 21 April, but were then extended until 10 May."
46,Germany,168162,7275,139900,4.21,8.3,"Effective 16 March 2020 Germany has partially closed its borders with Austria, Denmark, France, Luxembourg, and Switzerland. However, goods will continue to flow between the countries to curb panic-buying. Non-essential travel from Austria, Denmark, France, Italy, Luxembourg, Spain, Switzerland, and non-EU/Schengen countries is banned."
47,Ghana,3091,18,294,0.18,0.9,"Effective 17 March 2020 Ghana will ban anyone that has been to a country with more than 200 cases in the previous 14 days, unless they are an official resident or a Ghanaian national. Citizens and resident-permit holders will be required to self-isolate for 14 days on arrival."
48,Greece,2663,147,1374,4.59,4.3,"Initially suspended all passenger flights to and from Italy on 14 March, excluding cargo and sanitary ones. On 16 March Greece closed its borders with Albania and North Macedonia, only permitting the transportation of goods and the entry of Greek nationals and permanent residents, suspended ferry services to and from Italy and air links to Spain and prohibited all cruise ships and sailboats docking in Greek ports. The same day it was announced that a 14-day home restriction will be mandatory for those who enter the country. On 23 March Greece suspended all passenger flights from the UK as well as all air, sea, rail and road connections with Turkey, with an exception for Greek citizens and those who have residence permits, as well as trucks and ships that transport goods. On 28 March, Greece suspended all commercial flights to and from Germany and the Netherlands and on 15 April the Hellenic Civil Aviation Authority extended, until 15 May, the ban on passenger flights to and from Italy, Spain, Turkey, the United Kingdom, the Netherlands and Germany. Exemptions include cargo, sanitary, humanitarian, state, military, ferry and Frontex flights, as well as flights in support of the Hellenic National Healthcare System, those for repatriation of Greek citizens and emergency flights."
49,Guatemala,798,21,86,0.36,0.6,"The Guatemalan Government announced on 16 March that the country was closing its borders for two weeks, starting on midnight 17 March."
50,Guyana,93,10,27,0.8,1.6,Airports in Guyana are closed to all international passenger flights until 1 May 2020.
51,Honduras,1461,99,132,0.31,0.7,"Borders closed to all traffic, aside from the movement of goods, effective 15 March, 23:59."
52,Hungary,3111,373,759,3.23,7.0,Hungary closed its borders for all passenger transport on 17 March and only Hungarian citizens and permanent residents from the EEA are allowed to enter.
53,India,52987,1785,15331,0.78,0.7,"Flights to India are suspended from 00:01 GMT 22 March 2020 until 19:29 GMT 17 May 2020. This does not apply to flights that carry goods for trade or essential goods and supplies, and their crew members, helpers, cleaners etc."
54,Indonesia,12438,895,2317,0.38,1.2,"Effective 1 April 2020, all foreigners (except residents, family connection, medical personnel, and people responsible for transport of goods) are not allowed to enter Indonesia on all border checkpoints, including those on transit purposes."
55,Israel,16310,239,10637,3.22,3.1,"Effective 12 March 2020, foreign travellers from any country are denied entry, unless a specific permit is given by the Foreign Ministry and the person can prove the ability to remain under home isolation for 14 days. Israeli citizens and permanents residents are required to enter 14-day home isolation."
56,Israel,16310,239,10637,3.22,3.1,"From 9 March, Israel instituted a blanket 14-day quarantine on all visitors and returning citizens."
57,Jamaica,478,9,57,1.32,1.7,No entry except by government authorization.
58,Japan,15253,556,4496,2.41,13.4,"Passengers who have been in Albania, Andorra, Antigua and Barbuda, Armenia, Australia, Austria, Bahrain, Barbados, Belarus, Belgium, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Canada, Chile, China (People's Rep.), Congo (Dem. Rep.), Côte d'Ivoire, Croatia, Cyprus, Czechia, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Indonesia, Iran, Ireland, Israel, Italy, Korea (Rep.), Kosovo (Rep.), Kuwait, Latvia, Lithuania, Luxembourg, Macao (SAR China), Malaysia, Malta, Mauritius, Moldova (Rep.), Monaco, Morocco, Montenegro, New Zealand, North Macedonia, Oman, Panama, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, San Marino, Saudi Arabia, Serbia, Singapore, Slovakia, Slovenia, Spain, Saint Kitts and Nevis, Switzerland, Taiwan, Thailand, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States, Vatican or Viet Nam in the past 14 days are subject to an entry ban (foreign citizens incl. residents of Japan) or quarantine (Japanese citizens and Special Permanent Residents)."
59,Jordan,473,9,377,2.34,1.4,"Effective 17 March 2020, Jordan will stop all incoming and outgoing passenger flights into the country."
60,Kenya,582,26,190,0.2,1.4,"Effective 17 March 2020 Kenya halted the entry of foreigners from countries that have confirmed coronavirus cases. Only Kenyan citizens, and any foreigners with valid residence permits will be allowed to come in provided they proceed on self-quarantine or to a government designated quarantine facility."
61,"Korea, South",10810,256,9419,2.37,11.5,"Effective 13 April 2020, citizens of countries that restricted visa-free travel for South Koreans will not be allowed visa-free travel in South Korea. Visas issued on or before 5 April are invalidated."
62,"Korea, South",10810,256,9419,2.37,11.5,"Effective 1 April 2020, all passengers are subject to mandatory self-quarantine for 14 days. This does not apply to airline crew."
