,countryName,numCases,numDeaths,numRecovered,numDoctors,numHospitalBeds,travelAdv
63,Laos,19,0,10,0.5,1.5,Flights to Lao People's Dem. Rep. are suspended until 3 May 2020.
64,Latvia,900,17,464,3.19,5.8,"Effective 17 March 2020 all international passenger connections by air, railway, sea and road, were to be cancelled. Only Latvians and foreigners with residency rights in Latvia will be able to enter the country from outside the Schengen Area, but entry of foreign citizens by private vehicle from other Schengen member countries was still allowed."
65,Lithuania,1428,48,718,4.34,7.3,"Closed the border for foreigners, except for those with residence permits, effective 00:00 (UTC+02:00) 16 March – 27 April 2020."
66,Madagascar,158,0,101,0.18,0.2,All flights to Madagascar are suspended until 20 April 2020.
67,Malaysia,6428,107,4702,1.51,1.9,All citizens are prohibited from leaving the country while foreigners are prohibited from entering the country effective 18 March 2020. Airports and airspace remain open.
68,Malta,484,5,407,3.83,4.7,"Tourists entering Malta from any country from 13:30 on 13 March 2020 onwards must spend 14 days in mandatory quarantine, which 14 days start from the last day that they were in any of these countries. This is enforceable by law. Failure to observe this obligation will result in fines of €1,000 for each time it is breached."
69,Mauritius,332,10,320,2.02,3.4,Passengers are not allowed to transit or enter Mauritius.
70,Moldova,4476,143,1658,3.2,5.8,"Closed its airspace and terrestrial borders for all foreigners, except for diplomats and permanent residents, effective from 00:00 (UTC+02:00) 17 March 2020."
71,Morocco,5408,183,2017,0.73,1.1,On 15 March 2020 Morocco suspended all international passenger flights to and from the country.
72,Namibia,16,0,8,0.37,2.7,Namibia's borders are closed until 23 April 2020.
73,Nepal,99,0,22,0.65,0.3,All international flights to Nepal are suspended until 30 April 2020.
74,New Zealand,1489,21,1332,3.03,2.8,Borders closed to all non-citizens or permanent residents (except for spouses or dependent children under 24 travelling with their New Zealand citizen or permanent resident spouse or parent) including the previously exempt Pacific Islands or temporary visa holders (such as students) from 23:59 March 19.
